UID,Name,Student ID,Major,Datetime
98902426204,james,1001,computer science,20-04-26 15:48
98902426204,james,1001,computer science,20-04-26 15:48
98902426204,james,1001,computer science,20-04-26 15:48
98902426204,james,1001,computer science,20-04-26 15:49
98902426204,james,1001,computer science,20-04-26 15:57
98902426204,james,1001,computer science,20-04-26 15:57
98902426204,james,1001,computer science,20-04-26 15:58
98902426204,james,1001,computer science,20-04-26 15:58
98902426204,james,1001,computer science,20-04-26 15:59
98902426204,james,1001,computer science,20-04-26 15:59
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:00
98902426204,james,1001,computer science,20-04-26 16:01
